title,company,location,link
Graduate Sustainability,WSP,London,http://www.indeed.com/viewjob?jk=d9b7df0700b364e9
Python Developer,"Nomura Holdings, Inc.",London,http://www.indeed.com/viewjob?jk=b8d7f727a4f40984
Part-time Researcher in Climate and Flood Hydrology,University of Oxford,Oxford,http://www.indeed.com/viewjob?jk=3d8a7fe8a1166b03
Scientific Python Developer/Engineer,ECMWF,Berkshire,http://www.indeed.com/viewjob?jk=d25c7ac12491d4b3
Python Developer- Glasgow,JP Morgan Chase,Glasgow G2,http://www.indeed.com/viewjob?jk=0015592a382fa391
Research Software Engineer,University of Sheffield,Sheffield,http://www.indeed.com/viewjob?jk=cc8165dc582679e4
Python Developer,Wellcome Trust,London NW1,http://www.indeed.com/viewjob?jk=c6f5000cb963f8c9
Junior Python Programmer,Intouch Games,Birmingham,http://www.indeed.com/viewjob?jk=6ee657f013a3a4d9
Python Software Engineer - CIB Rates - Associate,JP Morgan Chase,London E14,http://www.indeed.com/viewjob?jk=07f8a60217877f62
Python Programmer,Intouch Games,Birmingham,http://www.indeed.com/viewjob?jk=5fa6bdfa07b9c865
Software Developer (Python),Altran,Derby,http://www.indeed.com/viewjob?jk=f9e6c24efa5b9d24
Python Software Engineer,JP Morgan Chase,Glasgow G2,http://www.indeed.com/viewjob?jk=223a8b933e9469eb
Geospatial Python Developer,CGG,Edenbridge TN8,http://www.indeed.com/viewjob?jk=fedb8ad56c50491d
Associate Engineer - Modelling and Decision Sciences,McLaren,Woking,http://www.indeed.com/viewjob?jk=6e507976b2f02b74
BioX Intern,QIAGEN,Manchester,http://www.indeed.com/viewjob?jk=c1308a19bcfed9ca
Graduate / Junior Python Developer,Webrecruit,Cranleigh,http://www.indeed.com/viewjob?jk=1bb335bd8e7d0e97
Python Coder,Willis Towers Watson,Redhill,http://www.indeed.com/viewjob?jk=a527f8feaa638b12
Python Developer,Bank of America,London,http://www.indeed.com/viewjob?jk=9c9ff4081b99d148
Scientific Officer roles,UK Government - Ministry of Defence,Pewsey,http://www.indeed.com/viewjob?jk=bfa82d30badf7a7e
Research Assistant,City University London,London,http://www.indeed.com/viewjob?jk=165104e3922e82d3
PYTHON DATA ENGINEER,Starlizard,Brighton BN1,http://www.indeed.com/viewjob?jk=73de5447c430031c
Graduate Data Scientist,The Stars Group,Onchan,http://www.indeed.com/viewjob?jk=804323a17e25ecc3
Operations Manager - (Premium),Revolut,London,http://www.indeed.com/viewjob?jk=93fdc17537054b0d
Software Developers C++ Python - Contract Up to 6 Months,Roke,Cheltenham,http://www.indeed.com/viewjob?jk=3f080a941833ae89
Junior Python Engineer,Amber Resourcing Ltd,London,http://www.indeed.com/viewjob?jk=6111b425a7e11ffa
Exploratory Data Analyst / Python,concirrus,London,http://www.indeed.com/viewjob?jk=ca6183ee6325b70d
Python Developer,Amber Resourcing Ltd,London,http://www.indeed.com/viewjob?jk=9d56ba614e8ccb25
Data Engineer,UK Government - Department for Work and Pensions,Leeds,http://www.indeed.com/viewjob?jk=6c2b59ad6c4cc16a
SENIOR DEVELOPER – PYTHON OR POLYGOT,Intec Select,Coventry,http://www.indeed.com/viewjob?jk=8de8643d49aa1066
Junior Python Developer,Solirius,London,http://www.indeed.com/viewjob?jk=270f7c74acfd144a
SENIOR PYTHON DEVELOPER,Bangura Solutions,London,http://www.indeed.com/viewjob?jk=faf511fefeabb001
